Original Entry,Make,Model
BMW X1,BMW,X1
Cadillac Escalade,Cadillac,Escalade
Cadillac XT6,Cadillac,XT6
Chevrolet Blazer UV,Chevrolet,Blazer EV
Chevrolet Camaro,Chevrolet,Camaro
Chevrolet Corvette,Chevrolet,Corvette
Chevrolet Silverado,Chevrolet,Silverado
Chevrolet Silverado 1500,Chevrolet,Silverado 1500
Chevrolet Silverado K2500,Chevrolet,Silverado K2500
Chevrolet Traverse,Chevrolet,Traverse
Chevrolet Trax,Chevrolet,Trax
Chevrolet truck Silverado,Chevrolet,Silverado
Chevrolet Truck Traverse,Chevrolet,Traverse
Dodge Durango,Dodge,Durango
Ford,Ford,Various Models
Ford Escape,Ford,Escape
Ford Expedition Max,Ford,Expedition Max
Ford Mustang,Ford,Mustang
Genesis GV80,Genesis,GV80
GMC Terrain,GMC,Terrain
GMC Yukon,GMC,Yukon
Honda Accord,Honda,Accord
Honda HR-V,Honda,HR-V
Honda Pilot,Honda,Pilot
Hyundai Kona,Hyundai,Kona
Hyundai Santa Fe,Hyundai,Santa Fe
Hyundai Santa Fe Hybrid,Hyundai,Santa Fe Hybrid
Hyundai Sonata N Line,Hyundai,Sonata N Line
Jeep Cherokee,Jeep,Cherokee
Jeep Compass,Jeep,Compass
Jeep Gladiator,Jeep,Gladiator
Jeep Renegade,Jeep,Renegade
Jeep Wrangler,Jeep,Wrangler
Kia Sorento,Kia,Sorento
Mercedes-Benz,Mercedes-Benz,Various Models
Mercedes-Benz Truck,Mercedes-Benz,Truck Models
Mitsubishi Outlander,Mitsubishi,Outlander
Model Y,Tesla,Model Y
Ram 1500,Ram,1500
Ram 3500,Ram,3500
Tesla Model 3,Tesla,Model 3
Tesla Model Y,Tesla,Model Y
2021 Ford F-150,Ford,F-150 (2021)
2022 Yukon,GMC,Yukon (2022)
Acura Integra,Acura,Integra
Acura MDX,Acura,MDX
Acura RDX,Acura,RDX
Acura TLX,Acura,TLX
Alfa Romeo Giulia,Alfa Romeo,Giulia
Alfa Romeo Stelvio,Alfa Romeo,Stelvio
Alfa Romero Stelvio,Alfa Romeo,Stelvio
Aston Martin DBX,Aston Martin,DBX
Audi A3,Audi,A3
Audi E-Tron GT,Audi,E-Tron GT
Audi Q3,Audi,Q3
Audi Q5,Audi,Q5
Audi Q7,Audi,Q7
Audi Q8,Audi,Q8
Audi Quattro,Audi,Quattro
Audi SQ5,Audi,SQ5
Audi SQ5 3.0T Quattro,Audi,SQ5 3.0T Quattro
BMW 3-Series,BMW,3-Series
BMW 4 Series,BMW,4 Series
BMW 430i Convertible,BMW,430i Convertible
BMW 5-Series,BMW,5-Series
BMW 530xi,BMW,530xi
BMW 740i,BMW,740i
BMW 750xi,BMW,750xi
BMW 760i xDrive,BMW,760i xDrive
BMW i7 xDrive60,BMW,i7 xDrive60
BMW iX xDrive50,BMW,iX xDrive50
BMW M5,BMW,M5
BMW M850i,BMW,M850i
BMW SAV,BMW,SAV (Sport Activity Vehicle)
BMW Sav X3,BMW,X3
BMW X1,BMW,X1
BMW X3,BMW,X3
BMW X3 sDrive30i,BMW,X3 sDrive30i
BMW X5,BMW,X5
BMW X5 M,BMW,X5 M
BMW X7,BMW,X7
BMW X7 xDrive40i,BMW,X7 xDrive40i
BMW X7,BMW,X7
BMW X5,BMW,X5
Buick Cascada,Buick,Cascada
Buick Enclave,Buick,Enclave
Buick Encore,Buick,Encore
Buick Encore GX,Buick,Encore GX
Buick Envision,Buick,Envision
Buick LaCrosse,Buick,LaCrosse
Cadillac XT4,Cadillac,XT4
Cadillac,Cadillac,Various Models
Cadillac ATS Sedan,Cadillac,ATS Sedan
Cadillac CT4,Cadillac,CT4
Cadillac CT5,Cadillac,CT5
Cadillac CT5 Premium Luxury,Cadillac,CT5 Premium Luxury
Cadillac CT6,Cadillac,CT6
Cadillac CT6 Sedan,Cadillac,CT6 Sedan
Cadillac CTS,Cadillac,CTS
Cadillac CTS Sedan,Cadillac,CTS Sedan
Cadillac Escalada,Cadillac,Escalade
Cadillac Escalade,Cadillac,Escalade
Cadillac Escalade ESV,Cadillac,Escalade ESV
Cadillac Lyriq,Cadillac,Lyriq
Cadillac XT5,Cadillac,XT5
Cadillac XT6,Cadillac,XT6
Cadillac XTS,Cadillac,XTS
Chevrolet Silverado 1500,Chevrolet,Silverado 1500
Chevrolet,Chevrolet,Various Models
Chevrolet 3500,Chevrolet,3500
Chevrolet Blazer,Chevrolet,Blazer
Chevrolet Blazer RS,Chevrolet,Blazer RS
Chevrolet Bolt EUV,Chevrolet,Bolt EUV
Chevrolet Camaro,Chevrolet,Camaro
Chevrolet Colorado,Chevrolet,Colorado
Chevrolet Corvette,Chevrolet,Corvette
Chevrolet Corvette Stingray,Chevrolet,Corvette Stingray
Chevrolet Cruze,Chevrolet,Cruze
Chevrolet Equinox,Chevrolet,Equinox
Chevrolet Express Cargo Van,Chevrolet,Express Cargo Van
Chevrolet Impala,Chevrolet,Impala
Chevrolet Malibu,Chevrolet,Malibu
Chevrolet Silverado 2500HD,Chevrolet,Silverado 2500HD
Chevrolet Silverado 3500HD,Chevrolet,Silverado 3500HD
Chevrolet Suburban,Chevrolet,Suburban
Chevrolet Tahoe,Chevrolet,Tahoe
Chevrolet Trailblazer,Chevrolet,Trailblazer
Chevrolet Sonic,Chevrolet,Sonic
Chevrolet Spark,Chevrolet,Spark
Chrysler 200,Chrysler,200
Chrysler 300,Chrysler,300
Chrysler Pacifica,Chrysler,Pacifica
Chrysler Voyager,Chrysler,Voyager
Dodge Challenger,Dodge,Challenger
Dodge Charger,Dodge,Charger
Dodge Dart,Dodge,Dart
