Make,Model,Year,Transmission,Engine,Electrical,Brakes,Structural,HVAC,Amount
GMC,Sierra Denali,2019,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,27000
Ford,F-350,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,20000
Dodge Ram,Ram Tradesman,2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10500
Dodge Ram,Truck,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
GMC,Sierra Denali,2019,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,28000
GMC,Sierra Denali,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11000
Chevrolet,Silverado,2019,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,9000
GMC,Denali,2018,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,8000
GMC,Sierra Denali,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17000
Chevrolet,Silverado,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,16000
Chevrolet,Silverado,2018,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10000
Chevrolet,Traverse,2020,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,14000
Cadillac,Escalade,2016,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6500
Chevrolet,Silverado,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,11000
GMC,Sierra 1500,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12000
GMC,Yukon,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Chevrolet,Silverado,2017,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5000
GMC,Yukon Denali,2017,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,8000
GMC,Sierra 2500,2015,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11000
Chevrolet,Silverado,2018,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2016,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4000
Chevrolet,Silverado 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Sierra,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
Chevrolet,Traverse,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3000
Chevrolet,Silverado,2019,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,8000
GMC,Sierra 4WD,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Dodge Ram,RAM 2500,2018,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,8500
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3000
Dodge,Ram 1500,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9000
Kia,Forte,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevy,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11000
Buick,Encore,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21500
GMC,Sierra,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3000
GMC,Sierra 3500,2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
GMC,Sierra Denali 1500,2021,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27500
Chevrolet,Silverado 1500,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3500
GMC,Sierra,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
GMC,Sierra,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9000
Dodge,Ram 3500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7250
Chevy,Silverado,2017,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7000
GMC,Sierra 2500,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8000
Dodge Ram,Ram 1500,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7500
Chevrolet,Silverado,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14000
Dodge Ram,Ram 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9500
Chevrolet,Tahoe,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10500
GMC,Sierra,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12500
Chevy,Silverado,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Dodge Ram,Ram 1500,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Dodge Ram,Ram 1500,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
GMC,Sierra 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Chevrolet,Silverado,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11000
Chevrolet,Silverado 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Dodge Ram,RAM Long Horn,2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10000
Chevrolet,Traverse,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9750
Chevrolet,Silverado,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10250
Dodge Ram,Ram 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Ford,F-150,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Chevrolet,Silverado 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10250
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Jeep,Wrangler,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8500
Ford,F-150,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Ford,F-150,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9500
GMC,Sierra K1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28000
Cadillac,Escalade,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7500
GMC,Denali 2500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7500
Dodge,Ram 3500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevy,Silverado,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Ford,F-150,2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5600
GMC,Sierra 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
GMC,Sierra 1500,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Dodge Ram,Ram 1500,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10500
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4000
Ford,F-150,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado 2500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra 1500,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Dodge Ram,Ram 1500,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Chevrolet,Silverado 1500,2017,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Chevrolet,Malibu LT,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado 1500,2019,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Sierra 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Colorado,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9000
