Feature,Coefficient
Intercept,-816264.9227275329
cat__Make_Acura,-188.4999559924991
cat__Make_Alfa Romeo,3256.569539666561
cat__Make_Audi,955.5165448740406
cat__Make_BMW,1415.4747763126657
cat__Make_Buick,87.92203222549276
cat__Make_Cadillac,1727.4456135426847
cat__Make_Chevrolet,1273.3681435467518
cat__Make_Chevy,717.8451301121922
cat__Make_Chrysler,1011.7469948106651
cat__Make_Dodge,984.9377922877081
cat__Make_Dodge Ram,907.852247886446
cat__Make_Fiat,-683.9227221725433
cat__Make_Ford,1491.0959530062985
cat__Make_GMC,2541.410054417794
cat__Make_Genesis,-2400.844815503263
cat__Make_Honda,-412.5796270834694
cat__Make_Hyundai,-2720.3762824176033
cat__Make_Infiniti,-2179.2959849752
cat__Make_Jaguar,-1338.1871968693526
cat__Make_Jeep,2487.715509214744
cat__Make_Kia,-1075.4815751247536
cat__Make_Land Rover,-549.4979842178602
cat__Make_Lexus,179.77073066014898
cat__Make_Lincoln,-679.7230243796783
cat__Make_Maserati,1337.6284449995783
cat__Make_Mazda,-542.1525614832324
cat__Make_Mercedes-Benz,383.8537514011917
cat__Make_Mitsubishi,419.355515368997
cat__Make_NIssan,-2211.3729451056834
cat__Make_Nissan,-2129.30905654037
cat__Make_Subaru,-1597.8066556597603
cat__Make_Tesla,-1316.5497401475716
cat__Make_Toyota,-512.6593683582199
cat__Make_Volkswagen,-212.46688585606935
cat__Make_Volskwagen,-428.7823924464118
cat__Model_200,-4527.614487254682
cat__Model_3 Series,-1220.30105882213
cat__Model_300,961.7937127855301
cat__Model_500L 4D,-1733.8145547821778
cat__Model_500X,1049.891832609645
cat__Model_6,4623.500851708267
cat__Model_ATS Sedan,-1151.0931250525043
cat__Model_Acadia,-1795.907999347315
cat__Model_Accent,886.9660062433624
cat__Model_Accord Hybrid,1700.1119229099306
cat__Model_Altima,-560.1876517488369
cat__Model_Armada,1254.6021622302355
cat__Model_Ascent,-2641.341996818884
cat__Model_Atlas,-54.25859858859953
cat__Model_Aviator,2018.246217817801
cat__Model_Blazer,-1286.2557951390422
cat__Model_Bolt EUV,-4320.779161597108
cat__Model_Bronco,-214.99693343723794
cat__Model_Bronco Sport,-1208.9365824724318
cat__Model_C15 Full Size,-5031.748368496892
cat__Model_CR-V,-2135.226409787911
cat__Model_CT4,-3167.3998491338803
cat__Model_CT5,-163.5781841835133
cat__Model_CT5 Premium Luxury,3823.1521131238774
cat__Model_CT6,4531.105488678781
cat__Model_CT6 Sedan,348.89040104124183
cat__Model_CTS,3033.8065812896716
cat__Model_CTS Sedan,-1546.6802473667035
cat__Model_CX-5,-1988.0599124298624
cat__Model_CX-50,-2578.570211922239
cat__Model_CX-9,-599.0232888393929
cat__Model_Camaro,513.3343636582024
cat__Model_Camry,-2127.657699961154
cat__Model_Canyon,2569.7317626187346
cat__Model_Carnival,257.76454004947766
cat__Model_Cascada,-2164.0856434546345
cat__Model_Challenger,343.5157794877855
cat__Model_Challenger R/T,-3147.8235233089067
cat__Model_Charger,639.8132495715693
cat__Model_Cherokee,-937.2391521529502
cat__Model_Cherokee 4D,-1496.5070466273007
cat__Model_Civic,-36.56337969464674
cat__Model_Colorado,-1717.2260110951725
cat__Model_Compass,-2209.501614450671
cat__Model_Corolla,1366.6866816886743
cat__Model_Corvette,1571.210371775381
cat__Model_Corvette 2DR,5673.493833131653
cat__Model_Cruze,-783.1821838959057
cat__Model_Dart,-512.1265653909724
cat__Model_Defender,-1692.778084620464
cat__Model_Denali,-1103.9715503773539
cat__Model_Denali 2500,-1867.268791261601
cat__Model_Discovery Sport,-2498.5744552693973
cat__Model_Durango,-402.748898443009
cat__Model_Durango GT,1852.1215636718978
cat__Model_E-Pace,-80.51563675137731
cat__Model_E-Tron GT,1415.1201094265837
cat__Model_ES 350,-169.97991503514837
cat__Model_EV6,-1595.7777400741163
cat__Model_EcoSport,-2351.3126619942195
cat__Model_Edge,-4136.498686668547
cat__Model_Elantra,143.08042824414667
cat__Model_Enclave,-387.8039949445523
cat__Model_Encore,1622.2284902890992
cat__Model_Encore GX,-2253.046065710538
cat__Model_Envision,570.829987660789
cat__Model_Equinox,-1025.6530345829278
cat__Model_Escalade,1572.8861234212447
cat__Model_Escalade ESV,7747.141358531665
cat__Model_Escape,-3036.262092778517
cat__Model_Expedition,1000.2886583786799
cat__Model_Explorer,-820.529445890339
cat__Model_Explorer 4WD,6270.855240437124
cat__Model_Express Cargo,-4511.339977587344
cat__Model_F Pace S,-303.0946903153481
cat__Model_F-150,-651.6947915191553
cat__Model_F-150 4WD,5947.502570551962
cat__Model_F-150 Hybrid,-4544.080314167709
cat__Model_F-150 SuperCrew,363.39295443825154
cat__Model_F-250,516.7570382034401
cat__Model_F-250 SRW Super Duty,8455.776911986333
cat__Model_F-250 Super Duty,5461.42703903342
cat__Model_F-250 Super Duty SRW,-2538.4851001372126
cat__Model_F-350,5135.718167482156
cat__Model_F-350 Super Duty,-1385.1146570592216
cat__Model_F-550,3453.1472062974176
cat__Model_F-Pace,-954.5768698026237
cat__Model_Focus,-3132.1356722620167
cat__Model_Forte,501.7379070794129
cat__Model_Frontier,-336.1772674220855
cat__Model_Fusion,-6067.729697012937
cat__Model_G70,1410.7899185107833
cat__Model_G90,-2424.653626029606
cat__Model_GLB 250W4,383.8537514011917
cat__Model_GV70,352.7343725924615
cat__Model_GV80,-1739.7154805768814
cat__Model_Ghibli,1337.6284449995783
cat__Model_Giulia,4003.9598576585245
cat__Model_Gladiator,-326.6889161161566
cat__Model_Grand Caravan,-437.9698395431211
cat__Model_Grand Cherokee,-701.4666933740947
cat__Model_Grand Cherokee L,10885.377749406016
cat__Model_Grand Wagoneer,-1441.6706450646127
cat__Model_HR-V,400.60906945275394
cat__Model_Hornet GT,635.1706719483209
cat__Model_Hummer EV,-7569.356328798137
